name,fields,num_queries_with_pos,num_eval_queries,selection_k,selection_map,selection_cmc,map@1,map@2,map@3,map@4,map@5,map@6,map@7,map@8,map@9,map@10,map@11,map@12,map@13,map@14,map@15,map@16,map@17,map@18,map@19,map@20,map@21,map@22,map@23,map@24,map@25,map@26,map@27,map@28,map@29,map@30,map@31,map@32,cmc@1,cmc@2,cmc@3,cmc@4,cmc@5,cmc@6,cmc@7,cmc@8,cmc@9,cmc@10,cmc@11,cmc@12,cmc@13,cmc@14,cmc@15,cmc@16,cmc@17,cmc@18,cmc@19,cmc@20,cmc@21,cmc@22,cmc@23,cmc@24,cmc@25,cmc@26,cmc@27,cmc@28,cmc@29,cmc@30,cmc@31,cmc@32
[single] diameter_cm,diameter_cm,61,0,32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
[single] volume_ml,volume_ml,61,0,32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
[single] num_apparent_arms,num_apparent_arms,61,53,32,0.258927,0.962264,0.113208,0.169811,0.188679,0.202830,0.210377,0.219811,0.233288,0.233288,0.235385,0.234441,0.237872,0.244161,0.244161,0.246857,0.248115,0.249294,0.252623,0.253672,0.254665,0.254665,0.254665,0.254665,0.254665,0.254665,0.256174,0.257626,0.257626,0.257626,0.258927,0.258927,0.258927,0.258927,0.113208,0.226415,0.283019,0.339623,0.377358,0.433962,0.528302,0.528302,0.547170,0.566038,0.603774,0.679245,0.679245,0.716981,0.735849,0.754717,0.811321,0.830189,0.849057,0.849057,0.849057,0.849057,0.849057,0.849057,0.886792,0.924528,0.924528,0.924528,0.962264,0.962264,0.962264,0.962264
[single] num_arms,num_arms,61,0,32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
[single] sex,sex,61,0,32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
[single] disk color,disk color,61,56,32,0.180438,0.946429,0.071429,0.080357,0.104167,0.126488,0.140774,0.140774,0.150978,0.153210,0.153210,0.154996,0.154996,0.154996,0.159117,0.159117,0.161498,0.163043,0.165144,0.168120,0.168120,0.169013,0.169013,0.169824,0.170601,0.173577,0.173577,0.175638,0.176299,0.177574,0.177574,0.178170,0.179322,0.180438,0.071429,0.089286,0.160714,0.250000,0.321429,0.321429,0.392857,0.410714,0.410714,0.428571,0.428571,0.428571,0.482143,0.482143,0.517857,0.535714,0.571429,0.625000,0.625000,0.642857,0.642857,0.660714,0.678571,0.750000,0.750000,0.803571,0.821429,0.857143,0.857143,0.875000,0.910714,0.946429
[single] arm color,arm color,61,54,32,0.108550,0.833333,0.037037,0.037037,0.049383,0.049383,0.056790,0.059877,0.070459,0.072773,0.072773,0.072773,0.079507,0.079507,0.079507,0.086121,0.089825,0.092140,0.095408,0.098494,0.099469,0.100395,0.100395,0.101236,0.101236,0.105094,0.105094,0.105421,0.105421,0.105421,0.106698,0.108550,0.108550,0.108550,0.037037,0.037037,0.074074,0.074074,0.111111,0.129630,0.203704,0.222222,0.222222,0.222222,0.296296,0.296296,0.296296,0.388889,0.444444,0.481481,0.537037,0.592593,0.611111,0.629630,0.629630,0.648148,0.648148,0.740741,0.740741,0.740741,0.740741,0.740741,0.777778,0.833333,0.833333,0.833333
[single] short_arm_codes,short_arm_codes,61,0,32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
[single] Last location,Last location,61,58,32,0.126145,0.862069,0.051724,0.051724,0.057471,0.079023,0.079023,0.090517,0.092980,0.092980,0.092980,0.092980,0.096115,0.098989,0.098989,0.100220,0.100220,0.106686,0.106686,0.109559,0.111374,0.118271,0.118271,0.118271,0.120520,0.120520,0.122589,0.122589,0.123227,0.123843,0.125032,0.125607,0.125607,0.126145,0.051724,0.051724,0.068966,0.155172,0.155172,0.224138,0.241379,0.241379,0.241379,0.241379,0.275862,0.310345,0.310345,0.327586,0.327586,0.431034,0.431034,0.482759,0.517241,0.655172,0.655172,0.655172,0.706897,0.706897,0.758621,0.758621,0.775862,0.793103,0.827586,0.844828,0.844828,0.862069
[single] stripe_descriptions,stripe_descriptions,61,16,32,0.134949,1.000000,0.000000,0.031250,0.072917,0.088542,0.088542,0.088542,0.106399,0.106399,0.106399,0.106399,0.112081,0.112081,0.112081,0.112081,0.112081,0.115987,0.115987,0.119459,0.119459,0.119459,0.119459,0.119459,0.119459,0.119459,0.119459,0.119459,0.126404,0.128636,0.128636,0.132933,0.134949,0.134949,0.000000,0.062500,0.187500,0.250000,0.250000,0.250000,0.375000,0.375000,0.375000,0.375000,0.437500,0.437500,0.437500,0.437500,0.437500,0.500000,0.500000,0.562500,0.562500,0.562500,0.562500,0.562500,0.562500,0.562500,0.562500,0.562500,0.750000,0.812500,0.812500,0.937500,1.000000,1.000000
[single] reticulation_descriptions,reticulation_descriptions,61,42,32,0.179743,0.880952,0.095238,0.119048,0.119048,0.119048,0.133333,0.133333,0.143537,0.146514,0.149159,0.153921,0.156086,0.156086,0.156727,0.160128,0.160128,0.166080,0.167481,0.170126,0.170126,0.171317,0.171317,0.171317,0.171317,0.172309,0.172309,0.172309,0.173191,0.176592,0.177413,0.178207,0.179743,0.179743,0.095238,0.142857,0.142857,0.142857,0.214286,0.214286,0.285714,0.309524,0.333333,0.380952,0.404762,0.404762,0.404762,0.452381,0.452381,0.547619,0.571429,0.619048,0.619048,0.642857,0.642857,0.642857,0.642857,0.666667,0.666667,0.666667,0.690476,0.785714,0.809524,0.833333,0.880952,0.880952
[single] rosette_descriptions,rosette_descriptions,61,55,32,0.187020,1.000000,0.090909,0.090909,0.096970,0.110606,0.125152,0.134242,0.136840,0.141385,0.151486,0.151486,0.156445,0.159475,0.159475,0.168566,0.172203,0.177884,0.178954,0.181984,0.183898,0.183898,0.183898,0.185241,0.185241,0.185241,0.185241,0.185241,0.185241,0.185241,0.185241,0.185847,0.187020,0.187020,0.090909,0.090909,0.109091,0.163636,0.236364,0.290909,0.309091,0.345455,0.436364,0.436364,0.490909,0.527273,0.527273,0.654545,0.709091,0.800000,0.818182,0.872727,0.909091,0.909091,0.909091,0.945455,0.945455,0.945455,0.945455,0.945455,0.945455,0.945455,0.945455,0.963636,1.000000,1.000000
[single] madreporite_descriptions,madreporite_descriptions,61,42,32,0.115462,0.904762,0.047619,0.059524,0.059524,0.059524,0.059524,0.059524,0.069728,0.072704,0.072704,0.075085,0.081579,0.083563,0.084312,0.084312,0.084312,0.091752,0.094554,0.099845,0.103604,0.103604,0.105871,0.108036,0.111142,0.111142,0.112094,0.113925,0.113925,0.113925,0.113925,0.113925,0.115462,0.115462,0.047619,0.071429,0.071429,0.071429,0.071429,0.071429,0.142857,0.166667,0.166667,0.190476,0.261905,0.285714,0.285714,0.285714,0.285714,0.404762,0.452381,0.547619,0.619048,0.619048,0.666667,0.714286,0.785714,0.785714,0.809524,0.857143,0.857143,0.857143,0.857143,0.857143,0.904762,0.904762
[single] Other_descriptions,Other_descriptions,61,2,32,0.212121,1.000000,0.000000,0.000000,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.212121,0.212121,0.212121,0.212121,0.212121,0.212121,0.212121,0.212121,0.212121,0.212121,0.212121,0.212121,0.212121,0.212121,0.212121,0.212121,0.212121,0.212121,0.212121,0.212121,0.212121,0.212121,0.000000,0.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
numeric_only,diameter_cm|volume_ml|num_apparent_arms|num_arms,61,53,32,0.258927,0.962264,0.113208,0.169811,0.188679,0.202830,0.210377,0.219811,0.233288,0.233288,0.235385,0.234441,0.237872,0.244161,0.244161,0.246857,0.248115,0.249294,0.252623,0.253672,0.254665,0.254665,0.254665,0.254665,0.254665,0.254665,0.256174,0.257626,0.257626,0.257626,0.258927,0.258927,0.258927,0.258927,0.113208,0.226415,0.283019,0.339623,0.377358,0.433962,0.528302,0.528302,0.547170,0.566038,0.603774,0.679245,0.679245,0.716981,0.735849,0.754717,0.811321,0.830189,0.849057,0.849057,0.849057,0.849057,0.849057,0.849057,0.886792,0.924528,0.924528,0.924528,0.962264,0.962264,0.962264,0.962264
categorical_only,sex|disk color|arm color,61,56,32,0.140195,0.910714,0.053571,0.062500,0.080357,0.080357,0.087500,0.087500,0.095153,0.101849,0.103834,0.109191,0.110814,0.110814,0.113561,0.118663,0.121044,0.122160,0.124261,0.129222,0.132041,0.132934,0.132934,0.132934,0.132934,0.132934,0.134363,0.134363,0.137312,0.137312,0.137312,0.138503,0.139079,0.140195,0.053571,0.071429,0.125000,0.125000,0.160714,0.160714,0.214286,0.267857,0.285714,0.339286,0.357143,0.357143,0.392857,0.464286,0.500000,0.517857,0.553571,0.642857,0.696429,0.714286,0.714286,0.714286,0.714286,0.714286,0.750000,0.750000,0.821429,0.821429,0.821429,0.857143,0.875000,0.910714
codes_only,short_arm_codes,61,0,32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
text_only,Last location|stripe_descriptions|reticulation_descriptions|rosette_descriptions|madreporite_descriptions|Other_descriptions,61,61,32,0.148063,0.967213,0.016393,0.073770,0.079235,0.079235,0.085792,0.091257,0.098283,0.102381,0.111488,0.114767,0.116257,0.120356,0.122878,0.128733,0.130918,0.132968,0.133932,0.138486,0.139301,0.142579,0.145702,0.145702,0.146415,0.146415,0.146415,0.146415,0.147022,0.147022,0.147022,0.147022,0.147551,0.148063,0.016393,0.131148,0.147541,0.147541,0.180328,0.213115,0.262295,0.295082,0.377049,0.409836,0.426230,0.475410,0.508197,0.590164,0.622951,0.655738,0.672131,0.754098,0.770492,0.836066,0.901639,0.901639,0.918033,0.918033,0.918033,0.918033,0.934426,0.934426,0.934426,0.934426,0.950820,0.967213
numeric+categorical,diameter_cm|volume_ml|num_apparent_arms|num_arms|sex|disk color|arm color,61,56,32,0.181181,0.982143,0.071429,0.080357,0.110119,0.119048,0.126190,0.129167,0.141922,0.144154,0.144154,0.147725,0.149349,0.152325,0.153699,0.156250,0.158631,0.163095,0.165196,0.172140,0.174020,0.175805,0.177506,0.177506,0.178501,0.179989,0.179989,0.179989,0.179989,0.179989,0.180605,0.180605,0.181181,0.181181,0.071429,0.089286,0.178571,0.214286,0.250000,0.267857,0.357143,0.375000,0.375000,0.410714,0.428571,0.464286,0.482143,0.517857,0.553571,0.625000,0.660714,0.785714,0.821429,0.857143,0.892857,0.892857,0.910714,0.946429,0.946429,0.946429,0.946429,0.946429,0.964286,0.964286,0.982143,0.982143
numeric+codes,diameter_cm|volume_ml|num_apparent_arms|num_arms|short_arm_codes,61,53,32,0.258927,0.962264,0.113208,0.169811,0.188679,0.202830,0.210377,0.219811,0.233288,0.233288,0.235385,0.234441,0.237872,0.244161,0.244161,0.246857,0.248115,0.249294,0.252623,0.253672,0.254665,0.254665,0.254665,0.254665,0.254665,0.254665,0.256174,0.257626,0.257626,0.257626,0.258927,0.258927,0.258927,0.258927,0.113208,0.226415,0.283019,0.339623,0.377358,0.433962,0.528302,0.528302,0.547170,0.566038,0.603774,0.679245,0.679245,0.716981,0.735849,0.754717,0.811321,0.830189,0.849057,0.849057,0.849057,0.849057,0.849057,0.849057,0.886792,0.924528,0.924528,0.924528,0.962264,0.962264,0.962264,0.962264
categorical+codes,sex|disk color|arm color|short_arm_codes,61,56,32,0.140195,0.910714,0.053571,0.062500,0.080357,0.080357,0.087500,0.087500,0.095153,0.101849,0.103834,0.109191,0.110814,0.110814,0.113561,0.118663,0.121044,0.122160,0.124261,0.129222,0.132041,0.132934,0.132934,0.132934,0.132934,0.132934,0.134363,0.134363,0.137312,0.137312,0.137312,0.138503,0.139079,0.140195,0.053571,0.071429,0.125000,0.125000,0.160714,0.160714,0.214286,0.267857,0.285714,0.339286,0.357143,0.357143,0.392857,0.464286,0.500000,0.517857,0.553571,0.642857,0.696429,0.714286,0.714286,0.714286,0.714286,0.714286,0.750000,0.750000,0.821429,0.821429,0.821429,0.857143,0.875000,0.910714
non_text_all,diameter_cm|volume_ml|num_apparent_arms|num_arms|sex|disk color|arm color|short_arm_codes,61,56,32,0.181181,0.982143,0.071429,0.080357,0.110119,0.119048,0.126190,0.129167,0.141922,0.144154,0.144154,0.147725,0.149349,0.152325,0.153699,0.156250,0.158631,0.163095,0.165196,0.172140,0.174020,0.175805,0.177506,0.177506,0.178501,0.179989,0.179989,0.179989,0.179989,0.179989,0.180605,0.180605,0.181181,0.181181,0.071429,0.089286,0.178571,0.214286,0.250000,0.267857,0.357143,0.375000,0.375000,0.410714,0.428571,0.464286,0.482143,0.517857,0.553571,0.625000,0.660714,0.785714,0.821429,0.857143,0.892857,0.892857,0.910714,0.946429,0.946429,0.946429,0.946429,0.946429,0.964286,0.964286,0.982143,0.982143
all_fields,diameter_cm|volume_ml|num_apparent_arms|num_arms|sex|disk color|arm color|short_arm_codes|Last location|stripe_descriptions|reticulation_descriptions|rosette_descriptions|madreporite_descriptions|Other_descriptions,61,61,32,0.150910,0.967213,0.016393,0.057377,0.079235,0.087432,0.093989,0.107650,0.109992,0.112041,0.113863,0.122060,0.123550,0.126282,0.127543,0.127543,0.129729,0.132803,0.134731,0.139285,0.142736,0.144376,0.145156,0.145156,0.146782,0.147465,0.148121,0.148121,0.148121,0.148121,0.149817,0.150910,0.150910,0.150910,0.016393,0.098361,0.163934,0.196721,0.229508,0.311475,0.327869,0.344262,0.360656,0.442623,0.459016,0.491803,0.508197,0.508197,0.540984,0.590164,0.622951,0.704918,0.770492,0.803279,0.819672,0.819672,0.852459,0.868852,0.885246,0.885246,0.885246,0.885246,0.934426,0.967213,0.967213,0.967213
